Mahalle_Adi,Toplam_Nufus,Toplam_Konteyner,Konteyner_Yogunlugu,Atik_Katsayisi,Gunluk_Tahmini_Atik_Ton,Mevsimsel_Atik_Ton,Oncelik_Skoru
YÜZÜNCÜYIL MAHALLESİ,18806,0,0.0,18806.0,19.182,23.139,82.7
GÖRÜKLE MAHALLESİ,32489,841,25.89,38.63139120095125,33.139,39.975,68.4
DUMLUPINAR MAHALLESİ,28594,140,4.9,204.24285714285713,29.166,35.183,65.1
İHSANİYE MAHALLESİ,28846,1296,44.93,22.257716049382715,29.423,35.493,62.5
ÜÇEVLER MAHALLESİ,27559,659,23.91,41.819423368740516,28.11,33.909,62.3
KONAK MAHALLESİ,24807,1362,54.9,18.2136563876652,25.303,30.523,56.8
CUMHURİYET MAHALLESİ,16705,7,0.42,2386.4285714285716,17.039,20.554,53.8
23 NİSAN MAHALLESİ,21042,605,28.75,34.780165289256196,21.463,25.891,53.7
BALAT MAHALLESİ,21167,990,46.77,21.38080808080808,21.59,26.044,52.7
BALKAN MAHALLESİ,19594,826,42.16,23.721549636803875,19.986,24.109,51.0
ÇALI MAHALLESİ,18226,805,44.17,22.640993788819877,18.591,22.426,49.1
ÇAMLICA MAHALLESİ,17741,796,44.87,22.287688442211056,18.096,21.829,48.5
ATAEVLER MAHALLESİ,17793,916,51.48,19.42467248908297,18.149,21.893,48.1
30 AĞUSTOS ZAFER MAHALLESİ,15605,390,24.99,40.01282051282051,15.917,19.201,47.1
DEMİRCİ MAHALLESİ,15415,548,35.55,28.12956204379562,15.723,18.967,46.1
BARIŞ MAHALLESİ,13667,351,25.68,38.93732193732194,13.94,16.816,44.6
29 EKİM MAHALLESİ,14587,745,51.07,19.57986577181208,14.879,17.948,44.1
ERTUĞRUL MAHALLESİ,13058,416,31.86,31.389423076923077,13.319,16.067,43.4
KÜLTÜR MAHALLESİ,13452,862,64.08,15.605568445475638,13.721,16.552,41.8
KARAMAN MAHALLESİ,11484,292,25.43,39.32876712328767,11.714,14.131,41.8
ESENTEPE MAHALLESİ,13096,762,58.19,17.186351706036746,13.358,16.114,41.7
AKÇALAR MAHALLESİ,10581,554,52.36,19.09927797833935,10.793,13.02,38.9
ALAADDİNBEY MAHALLESİ,9650,395,40.93,24.430379746835442,9.843,11.874,38.5
KURTULUŞ MAHALLESİ,8609,200,23.23,43.045,8.781,10.592,38.3
MAKŞEMPINARI MAHALLESİ,3120,0,0.0,3120.0,3.182,3.838,37.8
AHMET YESEVİ MAHALLESİ,9021,370,41.02,24.38108108108108,9.201,11.099,37.7
GÜNGÖREN MAHALLESİ,5380,68,12.64,79.11764705882354,5.488,6.62,35.0
BÜYÜKBALIKLI MAHALLESİ,5200,100,19.23,52.0,5.304,6.398,34.3
AYVAKÖY MAHALLESİ,1780,0,0.0,1780.0,1.816,2.191,33.9
