Mahalle_Adi_Orijinal,Mahalle_Adi,Mevcut_Kamyon_Tipi,Haftalik_Toplama_Frekansi,Vinc_Kullanimi,Yeralti_Konteyner_Sayisi,Arac_Tipi_Zorunlulugu
19 MAYIS MAHALLESİ,19 MAYIS,Large Garbage Truck,3,False,0,STANDART
23 NİSAN MAHALLESİ,23 NISAN,Large Garbage Truck,3,True,93,VINCLI
29 EKİM MAHALLESİ,29 EKIM,Large Garbage Truck,0,True,95,VINCLI
30 AĞUSTOS MAHALLESİ,30 AGUSTOS,Large Garbage Truck,3,True,0,VINCLI
AHMET YESEVİ MAHALLESİ,AHMET YESEVI,Large Garbage Truck,3,False,0,STANDART
AKÇALAR MAHALLESİ,AKCALAR,Large Garbage Truck,3,True,1,VINCLI
ALAADİNBEY MAHALLESİ,ALAADINBEY,Large Garbage Truck,3,False,0,STANDART
ALTINŞEHİR MAHALLESİ,ALTINSEHIR,Large Garbage Truck,3,True,124,VINCLI
ATAEVLER MAHALLESİ,ATAEVLER,Large Garbage Truck,3,True,39,VINCLI
ATLAS MAHALLESİ,ATLAS,Large Garbage Truck,3,False,0,STANDART
AYVAKÖY MAHALLESİ,AYVAKOY,Large Garbage Truck,3,False,0,STANDART
BADIRGA MAHALLESİ,BADIRGA,Large Garbage Truck,3,False,0,STANDART
BALAT MAHALLESİ,BALAT,Large Garbage Truck,3,True,72,VINCLI
BALKAN MAHALLESİ,BALKAN,Large Garbage Truck,3,True,45,VINCLI
BARIŞ MAHALLESİ,BARIS,Large Garbage Truck,3,True,3,VINCLI
BAŞKÖY MAHALLESİ,BASKOY,Large Garbage Truck,3,False,0,STANDART
BEŞEVLER MAHALLESİ,BESEVLER,Large Garbage Truck,3,True,2,VINCLI
BÜYÜKBALIKLI MAHALLESİ,BUYUKBALIKLI,Large Garbage Truck,3,False,0,STANDART
CUMHURİYET MAHALLESİ,CUMHURIYET,Large Garbage Truck,3,False,0,STANDART
ÇALI MAHALLESİ,CALI,Large Garbage Truck,3,True,1,VINCLI
ÇAMLICA MAHALLESİ,CAMLICA,Large Garbage Truck,3,False,0,STANDART
ÇATALAĞIL MAHALLESİ,CATALAGIL,Large Garbage Truck,3,False,0,STANDART
ÇAYLI MAHALLESİ,CAYLI,Large Garbage Truck,3,False,0,STANDART
DAĞYENİCE MAHALLESİ,DAGYENICE,Large Garbage Truck,3,False,0,STANDART
DEMİRCİ MAHALLESİ,DEMIRCI,Large Garbage Truck,3,True,2,VINCLI
DOĞANKÖY MAHALLESİ,DOGANKOY,Large Garbage Truck,3,False,0,STANDART
DUMLUPINAR MAHALLESİ,DUMLUPINAR,Large Garbage Truck,7,False,0,STANDART
ERTUĞRUL MAHALLESİ,ERTUGRUL,Large Garbage Truck,3,False,91,VINCLI
ESENTEPE MAHALLESİ,ESENTEPE,Large Garbage Truck,3,False,0,STANDART
ESENTEPE MAHALLESİ,ESENTEPE,Small Garbage Truck,6,False,0,STANDART
FADILLI MAHALLESİ,FADILLI,Large Garbage Truck,3,False,0,STANDART
FETHİYE MAHALLESİ,FETHIYE,Large Garbage Truck,6,False,0,STANDART
GÖKÇE MAHALLESİ,GOKCE,Large Garbage Truck,3,False,0,STANDART
GÖLYAZI MAHALLESİ,GOLYAZI,Small Garbage Truck,0,False,0,STANDART
GÖRÜKLE MAHALLESİ,GORUKLE,Large Garbage Truck,7,False,0,STANDART
GÜMÜŞTEPE MAHALLESİ,GUMUSTEPE,Small Garbage Truck,6,False,0,STANDART
GÜNGÖREN MAHALLESİ,GUNGOREN,Large Garbage Truck,3,False,0,STANDART
HASANAĞA MAHALLESİ,HASANAGA,Large Garbage Truck,3,False,8,VINCLI
HASANAĞA MAHALLESİ,HASANAGA,Small Garbage Truck,3,False,8,VINCLI
IŞIKTEPE MAHALLESİ,ISIKTEPE,Large Garbage Truck,3,False,0,STANDART
İHSANİYE MAHALLESİ,IHSANIYE,Large Garbage Truck,6,True,3,VINCLI
İNEGAZİ MAHALLESİ,INEGAZI,Large Garbage Truck,3,False,0,STANDART
İRFANİYE MAHALLESİ,IRFANIYE,Large Garbage Truck,3,False,0,STANDART
KADRİYE MAHALLESİ,KADRIYE,Large Garbage Truck,3,False,0,STANDART
KARACAOBA MAHALLESİ,KARACAOBA,Large Garbage Truck,3,False,0,STANDART
KARAMAN MAHALLESİ,KARAMAN,Large Garbage Truck,3,False,0,STANDART
KAYAPA MAHALLESİ,KAYAPA,Large Garbage Truck,3,False,0,STANDART
KIZILCIKLI MAHALLESİ,KIZILCIKLI,Large Garbage Truck,3,False,26,VINCLI
KONAK MAHALLESİ,KONAK,Large Garbage Truck,6,False,0,STANDART
KONAKLI MAHALLESİ,KONAKLI,Large Garbage Truck,3,False,0,STANDART
KORUBAŞI MAHALLESİ,KORUBASI,Large Garbage Truck,3,False,0,STANDART
KURTULUŞ MAHALLESİ,KURTULUS,Large Garbage Truck,3,False,0,STANDART
KURUÇEŞME MAHALLESİ,KURUCESME,Large Garbage Truck,3,False,0,STANDART
