Arac_ID,Arac_Adi,Arac_Tipi,Kapasite_Ton,Toplam_Mesafe_km,Gunluk_Mesafe_km,Toplam_Yakit_Litre,Gunluk_Yakit_Litre,Rolanti_Yakit_Litre,Rolanti_Maliyet_TL,Toplam_CO2_kg,Gunluk_CO2_kg,Toplam_Maliyet_TL,Gunluk_Maliyet_TL
5333,Vehicle 38,Small Garbage Truck,4.4,302.28000000002794,10.08,118425.48000000001,3947.52,118365.02,5326425.9,317380.29,10579.34,5329146.6,177638.22
1409,Vehicle 2,Large Garbage Truck,8.4,167630.35,5587.68,58720.060000000005,1957.34,49.44,2224.8,157369.76,5245.66,2642402.7,88080.09
6881,Vehicle 36,Large Garbage Truck,8.6,318.70999999996275,10.62,28118.719999999998,937.29,28007.17,1260322.65,75358.17,2511.94,1265342.4,42178.08
7201,Vehicle 43,Crane Vehicle,11.6,497.9500000000003,16.6,14320.380000000001,477.35,14121.2,635454.0,38378.62,1279.29,644417.1,21480.57
6514,Vehicle 31,Small Garbage Truck,4.6,624.7400000000052,20.82,11093.880000000001,369.8,10968.93,493601.85,29731.6,991.05,499224.6,16640.82
7224,Vehicle 34,Crane Vehicle,11.6,349.02999999999884,11.63,9922.2,330.74,9782.59,440216.55,26591.5,886.38,446499.0,14883.3
1434,Vehicle 17,Large Garbage Truck,8.6,672.1899999999732,22.41,7037.51,234.58,6802.24,306100.8,18860.53,628.68,316687.95,10556.27
2519,Vehicle 33,Large Garbage Truck,8.2,340.5300000000025,11.35,3572.96,119.1,3453.77,155419.65,9575.53,319.18,160783.2,5359.44
2424,Vehicle 9,Large Garbage Truck,8.6,312.8899999999994,10.43,2802.1800000000003,93.41,2692.67,121170.15,7509.84,250.33,126098.1,4203.27
7924,Vehicle 26,Crane Vehicle,12.2,1071.4100000000035,35.71,668.58,22.29,240.02,10800.9,1791.79,59.73,30086.1,1002.87
4257,Vehicle 18,Crane Vehicle,11.2,1099.8000000000466,36.66,656.9100000000001,21.9,216.99,9764.55,1760.52,58.68,29560.95,985.36
3547,Vehicle 29,Crane Vehicle,11.6,1007.0599999999977,33.57,591.01,19.7,188.19,8468.55,1583.91,52.8,26595.45,886.52
3615,Vehicle 25,Crane Vehicle,12.4,795.6200000000244,26.52,565.25,18.84,247.0,11115.0,1514.87,50.5,25436.25,847.88
1711,Vehicle 39,Large Garbage Truck,7.8,487.5,16.25,529.79,17.66,359.17,16162.65,1419.84,47.33,23840.55,794.68
1488,Vehicle 12,Large Garbage Truck,8.0,1217.359999999986,40.58,505.99,16.87,79.91,3595.95,1356.05,45.2,22769.55,758.98
6635,Vehicle 37,Large Garbage Truck,8.6,379.8499999999767,12.66,484.33,16.14,351.38,15812.1,1298.0,43.27,21794.85,726.5
5557,Vehicle 23,Crane Vehicle,11.2,866.2599999999948,28.88,461.58,15.39,115.08,5178.6,1237.03,41.23,20771.1,692.37
1106,Vehicle 24,Large Garbage Truck,7.8,674.2000000000116,22.47,429.69,14.32,193.72,8717.4,1151.57,38.39,19336.05,644.54
