LocationID,Mahalle_Key,Population,ContainerCount,DailyWaste_Ton,Dolma_Hizi_kg_saat,Dolma_Suresi_Saat,Dolma_Suresi_Gun,Doluluk_Riski,WeeklyFrequency,Onerilen_Haftalik_Frekans,Frekans_Farki
1,YUZUNCUYIL,18806,0,19.182,799.25,0.3,0.01,100.0,0.0,7,-7.0
28,MAKSEMPINARI,3120,0,3.182,132.58,1.5,0.06,16.6,3.0,7,-4.0
8,CUMHURIYET,16705,7,17.039,101.42,2.0,0.08,12.7,3.0,7,-4.0
32,AYVAKOY,1780,0,1.816,75.67,2.6,0.11,9.5,3.0,7,-4.0
36,GOLYAZI,1241,0,1.266,52.75,3.8,0.16,6.6,0.0,7,-7.0
3,DUMLUPINAR,28594,140,29.166,8.68,23.0,0.96,1.1,7.0,7,0.0
35,KORUBASI,3170,23,3.233,5.86,34.1,1.42,0.7,3.0,6,-3.0
30,GUNGOREN,5380,68,5.488,3.36,59.5,2.48,0.4,3.0,3,0.0
44,INEGAZI,1570,22,1.601,3.03,66.0,2.75,0.4,3.0,3,0.0
37,CAYLI,3240,47,3.305,2.93,68.3,2.85,0.4,3.0,3,0.0
49,KURUCESME,970,15,0.989,2.75,72.8,3.03,0.3,3.0,2,1.0
41,UNCUKURU,2990,53,3.05,2.4,83.4,3.48,0.3,3.0,2,1.0
42,BASKOY,3040,55,3.101,2.35,85.1,3.55,0.3,3.0,2,1.0
31,BUYUKBALIKLI,5200,100,5.304,2.21,90.5,3.77,0.3,3.0,2,1.0
48,KADRIYE,1250,25,1.275,2.12,94.1,3.92,0.3,3.0,2,1.0
33,GOKCE,4430,95,4.519,1.98,100.9,4.2,0.2,3.0,2,1.0
34,FADILLI,4110,91,4.192,1.92,104.2,4.34,0.2,3.0,2,1.0
39,BADIRGA,3440,78,3.509,1.87,106.7,4.45,0.2,3.0,2,1.0
50,UCPINAR,920,21,0.938,1.86,107.5,4.48,0.2,3.0,2,1.0
27,KURTULUS,8609,200,8.781,1.83,109.3,4.55,0.2,3.0,2,1.0
6,UCEVLER,27559,659,28.11,1.78,112.5,4.69,0.2,3.0,2,1.0
5,UCEVLER,27559,659,28.11,1.78,112.5,4.69,0.2,3.0,2,1.0
15,30 AGUSTOS ZAFER,15605,390,15.917,1.7,117.6,4.9,0.2,3.0,2,1.0
43,KARACAOBA,3220,81,3.284,1.69,118.4,4.93,0.2,3.0,2,1.0
22,KARAMAN,11484,292,11.714,1.67,119.7,4.99,0.2,3.0,2,1.0
17,BARIS,13667,351,13.94,1.65,120.9,5.04,0.2,3.0,2,1.0
2,GORUKLE,32489,841,33.139,1.64,121.8,5.08,0.2,7.0,2,5.0
9,23 NISAN,21042,605,21.463,1.48,135.3,5.64,0.2,3.0,2,1.0
47,CATALAGIL,1760,51,1.795,1.47,136.4,5.68,0.2,3.0,2,1.0
40,ATLAS,3720,110,3.794,1.44,139.2,5.8,0.2,3.0,2,1.0
19,ERTUGRUL,13058,416,13.319,1.33,149.9,6.25,0.2,3.0,2,1.0
38,DAGYENICE,4150,138,4.233,1.28,156.5,6.52,0.1,3.0,2,1.0
16,DEMIRCI,15415,548,15.723,1.2,167.3,6.97,0.1,3.0,2,1.0
26,ALAADDINBEY,9650,395,9.843,1.04,192.6,8.02,0.1,3.0,2,1.0
29,AHMET YESEVI,9021,370,9.201,1.04,193.0,8.04,0.1,3.0,2,1.0
11,BALKAN,19594,826,19.986,1.01,198.4,8.27,0.1,3.0,2,1.0
12,CALI,18226,805,18.591,0.96,207.8,8.66,0.1,3.0,2,1.0
13,CAMLICA,17741,796,18.096,0.95,211.1,8.8,0.1,3.0,2,1.0
4,IHSANIYE,28846,1296,29.423,0.95,211.4,8.81,0.1,6.0,2,4.0
10,BALAT,21167,990,21.59,0.91,220.1,9.17,0.1,3.0,2,1.0
