Saat,Toplam_Duraklama_Saniye,Ortalama_Duraklama,Kayit_Sayisi,Arac_Sayisi,Yogunluk_Skoru
0,81100854,17171.4702519585,4723,44,61.1
1,88608532,20069.88267270668,4415,44,66.8
2,97248728,21448.77106307896,4534,44,73.3
3,107354518,25171.047596717468,4265,44,80.9
4,118120678,28245.021042563367,4182,44,89.1
5,127732668,31314.701642559452,4079,44,96.3
6,132635787,26822.201617795752,4945,45,100.0
7,76772004,6460.658419591013,11883,45,57.9
8,34617948,2237.0241033925686,15475,45,26.1
9,33050979,2523.9388316151203,13095,45,24.9
10,33792519,2779.6758246277864,12157,45,25.5
11,30947074,2780.010240747395,11132,45,23.3
12,29635381,3306.413142920897,8963,45,22.3
13,28897637,3998.0128666297733,7228,45,21.8
14,30922829,5421.253330995793,5704,45,23.3
15,34303421,7760.954977375565,4420,45,25.9
16,30426872,7300.113243761996,4168,45,22.9
17,38123799,9070.615988579586,4203,44,28.7
18,36630244,7292.503284889508,5023,44,27.6
19,39389930,6768.029209621993,5820,44,29.7
20,45716129,8127.311822222222,5625,44,34.5
21,53622640,10406.101300213468,5153,44,40.4
22,57834539,12224.59078418939,4731,44,43.6
23,60106713,13419.672471533824,4479,44,45.3
