LocationID,Mahalle_Key,Mahalle_Adi,Coordinates,Latitude,Longitude,Population,ContainerCount,DailyWaste_Ton,CurrentOccupancy,PriorityScore,RequiredVehicleType,WeeklyFrequency,IdleRisk
1,YUZUNCUYIL,YÜZÜNCÜYIL MAHALLESİ,"[40.221286, 28.899762]",40.22128648065476,28.89976242435516,18806,0,19.182,100.0,82.7,Crane,0.0,2.0
2,GORUKLE,GÖRÜKLE MAHALLESİ,"[40.232311, 28.853661]",40.2323111295205,28.85366127387968,32489,841,33.139,0.2,68.4,Standard,7.0,2.4
3,DUMLUPINAR,DUMLUPINAR MAHALLESİ,"[40.223352, 28.839553]",40.22335249394995,28.83955306860944,28594,140,29.166,1.1,65.1,Standard,7.0,2.6
4,IHSANIYE,İHSANİYE MAHALLESİ,"[40.217861, 28.985818]",40.21786127953411,28.98581769043048,28846,1296,29.423,0.1,62.5,Crane,6.0,2.7
5,UCEVLER,ÜÇEVLER MAHALLESİ,"[40.202245, 28.945642]",40.20224492618648,28.9456422449181,27559,659,28.11,0.2,62.3,Crane,3.0,10.8
6,UCEVLER,ÜÇEVLER MAHALLESİ,"[40.202245, 28.945642]",40.20224492618648,28.9456422449181,27559,659,28.11,0.2,62.3,Crane,3.0,10.8
7,KONAK,KONAK MAHALLESİ,"[40.207298, 28.982253]",40.20729757512315,28.98225260917126,24807,1362,25.303,0.1,56.8,Standard,6.0,1.6
8,CUMHURIYET,CUMHURİYET MAHALLESİ,"[40.221426, 28.972091]",40.22142552497266,28.972091085490337,16705,7,17.039,12.7,53.8,Standard,3.0,2.9
9,23 NISAN,23 NİSAN MAHALLESİ,"[40.217114, 28.947829]",40.217113736073486,28.94782863773407,21042,605,21.463,0.2,53.7,Crane,3.0,8.0
10,BALAT,BALAT MAHALLESİ,"[40.264423, 28.942156]",40.26442308075404,28.942155808432044,21167,990,21.59,0.1,52.7,Crane,3.0,2.5
11,BALKAN,BALKAN MAHALLESİ,"[40.209580, 28.810431]",40.209580014216215,28.810430571081078,19594,826,19.986,0.1,51.0,Crane,3.0,1.4
12,CALI,ÇALI MAHALLESİ,"[40.168530, 28.916688]",40.1685301826087,28.916688227945,18226,805,18.591,0.1,49.1,Crane,3.0,1.6
13,CAMLICA,ÇAMLICA MAHALLESİ,"[40.196725, 28.982230]",40.19672469728664,28.982230076095192,17741,796,18.096,0.1,48.5,Standard,3.0,0.6
14,ATAEVLER,ATAEVLER MAHALLESİ,"[40.220578, 28.957635]",40.22057835538937,28.957635423183223,17793,916,18.149,0.1,48.1,Crane,3.0,8.3
15,30 AGUSTOS ZAFER,30 AĞUSTOS ZAFER MAHALLESİ,"[40.193044, 28.839550]",40.19304395444041,28.839550121822384,15605,390,15.917,0.2,47.1,Standard,3.0,0.5
16,DEMIRCI,DEMİRCİ MAHALLESİ,"[40.186883, 28.936016]",40.18688347999307,28.936015515416596,15415,548,15.723,0.1,46.1,Crane,3.0,4.6
17,BARIS,BARIŞ MAHALLESİ,"[40.214747, 28.969071]",40.21474696799818,28.969070542896052,13667,351,13.94,0.2,44.6,Crane,3.0,6.9
18,29 EKIM,29 EKİM MAHALLESİ,"[40.219021, 28.910899]",40.21902093305678,28.91089922829352,14587,745,14.879,0.1,44.1,Crane,0.0,9.4
19,ERTUGRUL,ERTUĞRUL MAHALLESİ,"[40.215982, 28.922216]",40.21598236649932,28.9222157547543,13058,416,13.319,0.2,43.4,Crane,3.0,8.0
20,KULTUR,KÜLTÜR MAHALLESİ,"[40.201614, 28.963490]",40.20161415057179,28.963490164337145,13452,862,13.721,0.1,41.8,Standard,3.0,1.4
21,KULTUR,KÜLTÜR MAHALLESİ,"[40.201614, 28.963490]",40.20161415057179,28.963490164337145,13452,862,13.721,0.1,41.8,Standard,3.0,1.4
22,KARAMAN,KARAMAN MAHALLESİ,"[40.214928, 28.994021]",40.214927701506305,28.994021497233323,11484,292,11.714,0.2,41.8,Standard,3.0,2.4
23,ESENTEPE,ESENTEPE MAHALLESİ,"[40.223656, 28.989527]",40.2236555171504,28.989527274217867,13096,762,13.358,0.1,41.7,Standard,3.0,3.4
24,ESENTEPE,ESENTEPE MAHALLESİ,"[40.223656, 28.989527]",40.2236555171504,28.989527274217867,13096,762,13.358,0.1,41.7,Standard,6.0,3.4
25,AKCALAR,AKÇALAR MAHALLESİ,"[40.178606, 28.746115]",40.17860565265082,28.746114662400974,10581,554,10.793,0.1,38.9,Crane,3.0,0.0
26,ALAADDINBEY,ALAADDİNBEY MAHALLESİ,"[40.193431, 28.928489]",40.19343092382669,28.92848921484392,9650,395,9.843,0.1,38.5,Standard,3.0,72.2
27,KURTULUS,KURTULUŞ MAHALLESİ,"[40.214966, 28.837730]",40.2149664969874,28.83772972594486,8609,200,8.781,0.2,38.3,Standard,3.0,4.6
28,MAKSEMPINARI,MAKŞEMPINARI MAHALLESİ,"[40.126879, 28.770015]",40.12687918592058,28.77001510469314,3120,0,3.182,16.6,37.8,Standard,3.0,0.0
29,AHMET YESEVI,AHMET YESEVİ MAHALLESİ,"[40.270567, 28.943448]",40.27056682609286,28.943448296090143,9021,370,9.201,0.1,37.7,Standard,3.0,4.7
30,GUNGOREN,GÜNGÖREN MAHALLESİ,"[40.108920, 28.799460]",40.10892001333334,28.79945977,5380,68,5.488,0.4,35.0,Standard,3.0,0.0
31,BUYUKBALIKLI,BÜYÜKBALIKLI MAHALLESİ,"[40.242772, 28.777874]",40.24277219331244,28.777873938349007,5200,100,5.304,0.3,34.3,Standard,3.0,0.0
32,AYVAKOY,AYVAKÖY MAHALLESİ,"[40.126642, 28.696479]",40.12664188938053,28.696478867256637,1780,0,1.816,9.5,33.9,Standard,3.0,0.0
33,GOKCE,GÖKÇE MAHALLESİ,"[40.245346, 28.798825]",40.24534613671875,28.79882545703125,4430,95,4.519,0.2,33.1,Standard,3.0,0.0
34,FADILLI,FADILLI MAHALLESİ,"[40.151595, 28.710236]",40.15159517184643,28.71023613162706,4110,91,4.192,0.2,32.7,Standard,3.0,0.0
35,KORUBASI,KORUBAŞI MAHALLESİ,"[40.104511, 28.755732]",40.1045114966443,28.755731865771814,3170,23,3.233,0.7,32.6,Standard,3.0,0.0
36,GOLYAZI,GÖLYAZI MAHALLESİ,"[40.169997, 28.681450]",40.16999687132353,28.681450205882353,1241,0,1.266,6.6,32.4,Standard,0.0,0.0
37,CAYLI,ÇAYLI MAHALLESİ,"[40.271605, 28.738766]",40.27160494347826,28.738765891304347,3240,47,3.305,0.4,32.1,Standard,3.0,0.0
38,DAGYENICE,DAĞYENİCE MAHALLESİ,"[40.156041, 28.953681]",40.156041102510464,28.953680685669454,4150,138,4.233,0.1,32.0,Standard,3.0,0.0
39,BADIRGA,BADIRGA MAHALLESİ,"[40.257251, 28.698598]",40.25725091977077,28.698598120343842,3440,78,3.509,0.2,31.8,Standard,3.0,0.0
40,ATLAS,ATLAS MAHALLESİ,"[40.121861, 28.883058]",40.12186086693167,28.883057699791785,3720,110,3.794,0.2,31.7,Standard,3.0,0.1
41,UNCUKURU,UNÇUKURU MAHALLESİ,"[40.117856, 28.725527]",40.11785560183486,28.725526943119267,2990,53,3.05,0.3,31.6,Standard,3.0,0.0
42,BASKOY,BAŞKÖY MAHALLESİ,"[40.216920, 28.767007]",40.21691993564993,28.767007305662805,3040,55,3.101,0.3,31.6,Standard,3.0,0.3
43,KARACAOBA,KARACAOBA MAHALLESİ,"[40.216480, 28.725619]",40.21648049780702,28.72561919517544,3220,81,3.284,0.2,31.4,Standard,3.0,0.0
44,INEGAZI,İNEGAZİ MAHALLESİ,"[40.128768, 28.862210]",40.128768423236515,28.862209589211616,1570,22,1.601,0.4,30.0,Standard,3.0,0.0
45,OZLUCE,ÖZLÜCE MAHALLESİ,"[40.237114, 28.908862]",40.23711417436412,28.908862151941097,4073,276,4.154,0.1,29.7,Standard,3.0,0.2
46,ODUNLUK,ODUNLUK MAHALLESİ,"[40.202463, 28.994988]",40.2024625705758,28.9949883388882,7362,1022,7.509,0.0,29.3,Standard,3.0,7.0
47,CATALAGIL,ÇATALAĞIL MAHALLESİ,"[40.215357, 28.701309]",40.215357072815536,28.70130922653722,1760,51,1.795,0.2,29.3,Standard,3.0,0.0
48,KADRIYE,KADRİYE MAHALLESİ,"[40.098504, 28.866724]",40.09850445019405,28.866724448900385,1250,25,1.275,0.3,29.2,Standard,3.0,0.0
49,KURUCESME,KURUÇEŞME MAHALLESİ,"[40.129483, 28.824001]",40.12948318401937,28.824001171912833,970,15,0.989,0.3,29.2,Standard,3.0,0.0
50,UCPINAR,ÜÇPINAR MAHALLESİ,"[40.107365, 28.845503]",40.107364732732734,28.845503043543545,920,21,0.938,0.2,28.6,Standard,3.0,0.0
51,MINARELICAVUS,MİNARELİÇAVUŞ MAHALLESİ,"[40.243691, 28.935499]",40.243691127278865,28.935498898717086,5194,621,5.298,0.0,27.8,Standard,3.0,8.6
52,DOGANKOY,DOĞANKÖY MAHALLESİ,"[40.259284, 28.913020]",40.25928361972697,28.913020144385683,2182,187,2.226,0.1,26.1,Standard,3.0,4.8
53,KAYAPA,KAYAPA MAHALLESİ,"[40.172466, 28.833987]",40.172465751924854,28.833987191253463,3085,335,3.147,0.0,25.8,Standard,3.0,0.1
54,TAHTALI,TAHTALI MAHALLESİ,"[40.177338, 28.877814]",40.177337907233216,28.8778135543302,1246,108,1.271,0.0,24.9,Standard,3.0,0.2
55,YOLCATI,YOLÇATI MAHALLESİ,"[40.260276, 28.875188]",40.26027598266397,28.875188200664546,5593,1039,5.705,0.0,24.0,Standard,3.0,0.0
56,19 MAYIS,19 MAYIS MAHALLESİ,"[40.227671, 28.896518]",40.227671025606725,28.896518057328493,4371,743,4.458,0.0,23.5,Standard,3.0,0.1
57,KONAKLI,KONAKLI MAHALLESİ,"[40.253852, 28.758399]",40.25385241832061,28.7583986,1098,125,1.12,0.0,22.9,Standard,3.0,0.0
58,HASANAGA,HASANAĞA MAHALLESİ,"[40.170163, 28.793471]",40.170162630309825,28.79347100126174,1661,224,1.694,0.0,22.3,Crane,3.0,0.5
59,HASANAGA,HASANAĞA MAHALLESİ,"[40.170163, 28.793471]",40.170162630309825,28.79347100126174,1661,224,1.694,0.0,22.3,Crane,3.0,0.5
60,ISIKTEPE,IŞIKTEPE MAHALLESİ,"[40.227036, 28.960912]",40.22703575091767,28.96091156528579,3839,699,3.916,0.0,22.0,Standard,3.0,0.5
61,IRFANIYE,İRFANİYE MAHALLESİ,"[40.231774, 28.811181]",40.23177368259861,28.81118066635731,1187,164,1.211,0.0,21.5,Standard,3.0,0.5
62,GUMUSTEPE,GÜMÜŞTEPE MAHALLESİ,"[40.183629, 28.970493]",40.183629006698396,28.97049260664551,2552,479,2.603,0.0,20.0,Standard,6.0,0.5
63,YAYLACIK,YAYLACIK MAHALLESİ,"[40.179909, 28.899225]",40.1799094108364,28.899224845081537,2039,385,2.08,0.0,19.3,Standard,3.0,0.0
64,ALTINSEHIR,ALTINŞEHİR MAHALLESİ,"[40.226761, 28.919152]",40.22676083970937,28.919151609430603,1883,412,1.921,0.0,17.2,Crane,3.0,8.5
65,URUNLU,ÜRÜNLÜ MAHALLESİ,"[40.209113, 28.881040]",40.209113052524664,28.881039770458504,1338,358,1.365,0.0,13.4,Crane,3.0,0.0
66,FETHIYE,FETHİYE MAHALLESİ,"[40.231865, 28.975193]",40.23186463159578,28.975192902462425,2192,980,2.236,0.0,2.9,Standard,6.0,4.9
